CustomerKey,Recency,Frequency,Monetary,Segment,Cluster
11000,270,3,8248.99,At Risk High Value,3
11001,49,3,6383.879999999999,VIP,3
11002,339,3,8114.04,At Risk High Value,3
11003,263,3,8139.29,At Risk High Value,3
11004,272,3,8196.01,At Risk High Value,3
11005,271,3,8121.33,At Risk High Value,3
11006,259,3,8119.03,At Risk High Value,3
11007,315,3,8211.0,At Risk High Value,3
11008,332,3,8106.3099999999995,At Risk High Value,3
11009,264,3,8091.33,At Risk High Value,3
11010,250,3,8088.04,At Risk High Value,3
11011,315,3,8133.04,At Risk High Value,3
11012,105,2,81.26,Loyal,1
11013,7,2,113.96000000000001,Loyal,1
11014,273,2,138.45000000000002,At Risk,1
11015,375,1,2500.97,At Risk High Value,1
11016,353,1,2332.2799999999997,At Risk High Value,1
11017,106,3,6434.3099999999995,Loyal,3
11018,96,3,6533.28,Loyal,3
11019,16,17,882.7,Loyal,2
11020,395,1,2316.97,At Risk High Value,1
11021,370,1,2371.9599999999996,At Risk High Value,1
11022,373,1,2322.2799999999997,At Risk High Value,1
11023,14,2,122.24,Loyal,1
11024,186,2,56.510000000000005,Regular,1
11025,95,3,6576.799999999999,Loyal,3
11026,105,3,6575.79,Loyal,3
11027,96,3,6591.57,Loyal,3
11028,113,3,6474.62,Loyal,3
11029,78,3,6565.29,Loyal,3
11030,80,3,6471.32,Loyal,3
11031,76,3,6478.599999999999,Loyal,3
11032,81,3,6525.5599999999995,Loyal,3
11033,84,3,6495.29,Loyal,3
11034,79,3,6491.32,Loyal,3
11035,74,3,6451.3099999999995,Loyal,3
11036,371,1,2354.9799999999996,At Risk High Value,1
11037,373,1,2374.2299999999996,At Risk High Value,1
11038,77,3,6437.33,Loyal,3
11039,78,3,6636.58,Loyal,3
11040,300,1,2350.9599999999996,At Risk High Value,1
11041,379,1,2380.47,At Risk High Value,1
11042,103,2,3112.33,Loyal,3
11043,163,2,47.980000000000004,Regular,1
11044,81,3,6515.299999999999,Loyal,3
11045,91,2,114.96000000000001,Loyal,1
11046,77,3,6616.8099999999995,Loyal,3
11047,70,3,6582.33,VIP,3
11048,34,3,6498.24,VIP,3
11049,91,2,81.26,Loyal,1
11050,70,3,5007.3,VIP,3
11051,27,2,123.95,Loyal,1
11052,246,3,8131.32,At Risk High Value,3
11053,376,1,2329.9799999999996,At Risk High Value,1
11054,243,3,8223.02,At Risk High Value,3
11055,235,3,8168.009999999999,At Risk High Value,3
11056,242,3,8207.5,At Risk High Value,3
11057,252,3,8088.04,At Risk High Value,3
11058,238,3,8248.019999999999,At Risk High Value,3
11059,318,3,116.93,At Risk,1
11060,217,3,8153.0199999999995,At Risk High Value,3
11061,228,3,8129.0199999999995,At Risk High Value,3
11062,386,1,2351.9599999999996,At Risk High Value,1
11063,381,1,2372.95,At Risk High Value,1
11064,368,1,2304.9799999999996,At Risk High Value,1
11065,18,2,202.57,Loyal,1
11066,131,2,81.26,Loyal,1
11067,16,2,105.75,Loyal,1
11068,112,3,113.36,Loyal,1
11069,238,3,8104.049999999999,At Risk High Value,3
11070,216,3,8165.55,At Risk High Value,3
11071,58,3,110.23,Loyal,1
11072,227,3,8194.0,At Risk High Value,3
11073,160,3,191.9,Regular,1
11074,246,3,94.19,At Risk,1
11075,218,3,8068.03,At Risk High Value,3
11076,221,3,8159.039999999999,At Risk High Value,3
11077,230,3,8169.03,At Risk High Value,3
11078,0,17,913.27,Loyal,2
11079,27,3,57.95,Loyal,1
11080,219,3,8204.019999999999,At Risk High Value,3
11081,290,2,104.26,At Risk,1
11082,83,2,3110.81,Loyal,3
11083,81,2,3137.3199999999997,Loyal,3
11084,68,2,3078.6099999999997,VIP,3
11085,20,2,128.96,Loyal,1
11086,38,2,153.45000000000002,Loyal,1
11087,172,2,200.28,Regular,1
11088,77,2,3176.7799999999997,Loyal,3
11089,71,2,3188.2799999999997,VIP,3
11090,68,3,6704.08,VIP,3
11091,20,28,1189.33,VIP,2
11092,221,3,8110.0199999999995,At Risk High Value,3
11093,234,3,8180.0,At Risk High Value,3
11094,17,3,235.89000000000001,Loyal,1
11095,217,3,8158.009999999999,At Risk High Value,3
11096,182,3,8063.039999999999,Regular,3
11097,188,3,8099.03,Regular,3
11098,104,3,88.96,Loyal,1
11099,211,3,8215.99,At Risk High Value,3
11100,174,3,8172.509999999999,Regular,3
11101,213,3,8262.52,At Risk High Value,3
11102,50,3,102.91,Loyal,1
11103,236,3,8182.5,At Risk High Value,3
11104,227,3,8173.03,At Risk High Value,3
11105,237,3,8095.99,At Risk High Value,3
11106,227,3,8079.049999999999,At Risk High Value,3
11107,221,3,8171.009999999999,At Risk High Value,3
11108,219,3,8124.04,At Risk High Value,3
11109,218,3,8245.01,At Risk High Value,3
11110,161,3,8093.03,Regular,3
11111,159,3,8136.999999999999,Regular,3
11112,148,3,8295.02,Regular,3
11113,282,3,109.88000000000001,At Risk,1
11114,33,3,122.89,Loyal,1
11115,26,3,113.71000000000001,Loyal,1
11116,104,3,148.7,Loyal,1
11117,217,3,8184.99,At Risk High Value,3
11118,2,3,123.80000000000001,Loyal,1
11119,66,2,85.22,Loyal,1
11120,131,3,8242.49,Loyal,3
11121,85,3,58.16,Loyal,1
11122,159,3,42.92999999999999,Regular,1
11123,3,3,149.84,Loyal,1
11124,224,3,8129.0199999999995,At Risk High Value,3
11125,209,3,79.69,At Risk,1
11126,86,3,4972.37,Loyal,3
11127,119,2,43.980000000000004,Loyal,1
